Build No.,CPU,Motherboard,RAM,GPU,PSU
124,AMD Ryzen 9 7900X,X670E-E,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
125,AMD Ryzen 9 7900X,B650E-F,64 GB (2 x 32 GB) DDR5-6000,RTX 4060,750 W
126,AMD Ryzen 9 7900X,B650E-E,64 GB (2 x 32 GB) DDR5-6000,RTX 4060,1500 W
127,AMD Ryzen 9 7900X,B650-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
128,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
129,Intel Core i7-13700F,B760M,32 GB (2 x 16 GB) DDR5-5200,RTX 4060 Ti,650 W
130,AMD Ryzen 9 7950X,X670E-E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1500 W
131,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
132,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6600,RTX 4080,850 W
133,Intel Core i5-13600KF,B760-I,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,850 W
134,AMD Ryzen 9 7900X,X670E-E,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
135,Intel Core i5-13400F,B760M,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,750 W
136,Intel Core i7-13700KF,Z790-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
137,AMD Ryzen 7 7700X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
138,Intel Core i5-13400F,B760M,16 GB (2 x 8 GB) DDR5-6000,RTX 4060,700 W
139,AMD Ryzen 9 7900X,B650E-F,64 GB (2 x 32 GB) DDR5-6000,RTX 4060 Ti,1200 W
140,AMD Ryzen 7 7700X,B650E,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
141,AMD Ryzen 7 7700X,X670E-PRO,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
142,Intel Core i7-13700KF,Z790-PLUS,64 GB (2 x 32 GB) DDR5-5600,RTX 4060 Ti,850 W
143,Intel Core i5-13400F,B760-VC,16 GB (2 x 8 GB) DDR5-5200,RTX 4060,650 W
144,AMD Ryzen 7 7700X,X670E-PRO,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
145,Intel Core i7-13700KF,Z790-A,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
146,Intel Core i5-13600KF,B760M-PLUS,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,700 W
