Build No.,CPU,Motherboard,RAM,GPU,PSU
743,Intel Core i7-13700KF,Z790,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1200 W
744,AMD Ryzen 9 7900X,B650E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
745,AMD Ryzen 7 7700X,X670E-E,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
746,AMD Ryzen 9 7900X,X670E-PLUS,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
747,AMD Ryzen 7 7700X,X670E,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
748,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
749,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
750,AMD Ryzen 9 7950X,X670E,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
751,AMD Ryzen 9 7950X,B650,128 GB (4 x 32 GB) DDR5-5600,RTX 4090,1300 W
752,AMD Ryzen 9 7950X,X670E,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1200 W
753,AMD Ryzen 7 7700X,B650,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
754,AMD Ryzen 9 7900X,X670,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
755,AMD Ryzen 9 7900X,X670E-A,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
756,Intel Core i5-13600KF,Z790,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
757,AMD Ryzen 7 7700X,X670E-F,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
