Build_No.,CPU,Motherboard,RAM,GPU,PSU
531,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
532,Intel Core i5-13600KF,Asus PRIME Z790-P WIFI D4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,850 W
533,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6200,RTX 4080,850 W
534,Intel Core i5-13600KF,MSI MPG Z690 EDGE WIFI DDR4 ATX LGA1700,16 GB (2 x 8 GB) DDR4-3600,RTX 4070 Ti,850 W
535,AMD Ryzen 5 5600X,ASRock B550M-ITX/ac Mini ITX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,650 W
536,AMD Ryzen 9 7950X,Asus ProArt X670E-CREATOR WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
537,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
538,Intel Core i5-13600KF,Asus PRIME Z790-P WIFI D4 ATX LGA1700£249.99,32 GB (4 x 8 GB) DDR4-3600,RTX 4070 Ti,1000 W
539,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,750 W
540,Intel Core i7-13700KF,Gigabyte Z790 GAMING X ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
541,AMD Ryzen 9 7900X,Gigabyte X670E AORUS XTREME (rev. 1.0) EATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,1000 W
542,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
543,Intel Core i7-13700KF,Asus TUF GAMING Z790-PLUS WIFI D4 ATX LGA1700 489.45,32 GB (4 x 8 GB) DDR4-3200,RTX 4090,1200 W
544,AMD Ryzen 9 7950X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,850 W
545,AMD Ryzen 9 7900X,MSI MPG B650 EDGE WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
546,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
547,AMD Ryzen 9 7900X,ASRock X670E Taichi Carrara EATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1200 W
548,Intel Core i5-13600KF,MSI PRO Z790-P WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
549,AMD Ryzen 9 7900X,NZXT N7 B650E ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,1200 W
550,AMD Ryzen 9 7950X,Gigabyte B650 AORUS ELITE AX ATX AM5€247.43,32 GB (2 x 16 GB) DDR5-6600,RTX 4080,1300 W
551,AMD Ryzen 9 7950X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
552,Intel Core i5-13600KF,Gigabyte B660M DS3H AX DDR4 Micro ATX,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,750 W
553,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
554,AMD Ryzen 7 7700X,NZXT N7 B650E ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
555,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
556,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
557,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
558,AMD Ryzen 7 7700X,MSI MPG B650I EDGE WIFI Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,750 W
559,Intel Core i5-13600KF,ASRock Z690M Phantom Gaming 4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,1000 W
560,Intel Core i7-13700KF,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
561,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5 489.00,32 GB (2 x 16 GB) DDR5-6200,RTX 4080,1200 W
562,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
563,Intel Core i7-13700KF,Gigabyte Z690I AORUS ULTRA Mini ITX,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
564,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5 808.95,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1200 W
565,AMD Ryzen 9 7900X,Asus PRIME X670E-PRO WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,1000 W
566,AMD Ryzen 9 7900X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,1000 W
567,AMD Ryzen 9 7900X,ASRock X670E Taichi Carrara EATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,750 W
568,AMD Ryzen 9 7900X,Asus PRIME X670E-PRO WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,1000 W
569,Intel Core i5-13600KF,MSI PRO Z790-A WIFI DDR4 ATX LGA1700,16 GB (2 x 8 GB) DDR4-3600,RTX 4070 Ti,850 W
570,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,750 W
571,Intel Core i5-13600KF,Asus PRIME Z790-P WIFI D4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4090,1000 W
572,AMD Ryzen 9 7900X,Asus ROG CROSSHAIR X670E HERO ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
573,AMD Ryzen 5 5600X,ASRock B550 Phantom Gaming-ITX/ax Mini ITX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,750 W
574,Intel Core i7-13700KF,Asus PRIME Z790-A WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,850 W
575,AMD Ryzen 7 7700X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
576,AMD Ryzen 7 7700X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
577,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1600 W
578,AMD Ryzen 7 7700X,MSI MPG B650 CARBON WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
579,AMD Ryzen 5 5600X,Gigabyte B550I AORUS PRO AX Mini ITX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4070 Ti,550 W
580,AMD Ryzen 9 7900X,Asus PRIME X670-P ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
581,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
582,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1600 W
583,AMD Ryzen 7 7700X,ASRock X670E Steel Legend ATX AM5£335.00,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1600 W
584,AMD Ryzen 9 7900X,Asus ROG CROSSHAIR X670E HERO ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4080,1500 W
585,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
586,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1200 W
587,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,1000 W
588,AMD Ryzen 9 7900X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
589,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
590,AMD Ryzen 7 7700X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
591,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
592,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,850 W
593,AMD Ryzen 9 7950X,ASRock X670E Steel Legend ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
594,AMD Ryzen 9 7900X,MSI MAG B650M MORTAR WIFI Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
595,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
596,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,1200 W
597,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,64 GB (2 x 32 GB) DDR5-5200,RTX 4090,1500 W
598,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1650 W
599,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,1000 W
600,AMD Ryzen 9 7950X,Gigabyte B650E AORUS MASTER ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
601,Intel Core i5-13600KF,Gigabyte Z690I AORUS ULTRA PLUS DDR4 (rev. 1.0) Mini ITX,32 GB (2 x 16 GB) DDR4-4000,RTX 4080,850 W
602,Intel Core i7-13700KF,MSI PRO Z690-A ATX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,750 W
603,AMD Ryzen 7 7700X,ASRock X670E Steel Legend ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
604,AMD Ryzen 9 7950X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
605,AMD Ryzen 9 7950X,ASRock X670E Taichi Carrara EATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1300 W
606,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX,64 GB (2 x 32 GB) DDR5-6400,RTX 4090,1500 W
607,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
608,AMD Ryzen 9 7950X,Gigabyte B650E AORUS MASTER ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
609,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,1000 W
610,Intel Core i5-13600KF,Asus ROG STRIX Z690-F GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
611,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,750 W
612,AMD Ryzen 9 7950X,Asus ProArt X670E-CREATOR WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
613,AMD Ryzen 9 7950X,Gigabyte X670E AORUS MASTER (rev. 1.0) EATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
614,AMD Ryzen 7 7700X,Asus ProArt X670E-CREATOR WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
615,AMD Ryzen 9 7950X,Gigabyte X670E AORUS MASTER (rev. 1.0) EATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4070 Ti,1000 W
616,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
617,AMD Ryzen 7 7700X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
618,AMD Ryzen 9 7950X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
619,AMD Ryzen 9 7900X,ASRock B650E STEEL LEGEND WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070 Ti,1200 W
620,Intel Core i5-13600KF,Asus ROG STRIX B660-I GAMING WIFI Mini ITX,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
621,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
622,AMD Ryzen 9 7900X,MSI MEG X670E ACE EATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
623,AMD Ryzen 9 7900X,Asus TUF GAMING B650-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
624,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,64 GB (2 x 32 GB) DDR5-5200,RTX 4090,1000 W
625,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5£500.00,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
626,AMD Ryzen 9 7950X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
627,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
628,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
629,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
630,Intel Core i7-13700KF,NZXT N7-Z69XT-W1 ATX LGA1700 470.00,32 GB (2 x 16 GB) DDR4-3200,RTX 4070 Ti,850 W
631,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
632,AMD Ryzen 5 5600X,Asus ROG STRIX B550-I GAMING Mini ITX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4080,850 W
633,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
634,AMD Ryzen 9 7900X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
635,AMD Ryzen 7 7700X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
636,AMD Ryzen 7 7700X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
637,AMD Ryzen 9 7950X,Gigabyte X670E AORUS MASTER (rev. 1.0) EATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
638,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5,64 GB (2 x 32 GB) DDR5-6400,RTX 4080,1200 W
639,AMD Ryzen 7 7700X,Gigabyte B650 AORUS PRO AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,1000 W
640,Intel Core i7-13700KF,MSI MPG Z790 CARBON WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6600,RTX 4090,1000 W
641,Intel Core i7-13700KF,MSI MPG Z790 CARBON WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
642,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-I GAMING WIFI Mini ITX AM5£471.48,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1000 W
643,AMD Ryzen 9 7950X,ASRock X670E Taichi EATX AM5,64 GB (2 x 32 GB) DDR5-5200,RTX 4090,1000 W
644,AMD Ryzen 9 7950X,Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5 629.00,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,850 W
645,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX AM5 1511.99,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1600 W
646,Intel Core i7-13700KF,ASRock Z790 LiveMixer ATX LGA1700,64 GB (2 x 32 GB) DDR5-5200,RTX 4080,1300 W
647,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX AM5 1417.49,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
648,AMD Ryzen 9 7900X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,16 GB (2 x 8 GB) DDR5-6000,RTX 4080,1050 W
649,AMD Ryzen 5 5600X,Asus TUF GAMING B550-PLUS WIFI II ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4070 Ti,600 W
650,AMD Ryzen 9 7950X,MSI PRO X670-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
651,AMD Ryzen 9 7950X,ASRock X670E Taichi EATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1300 W
652,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
653,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,850 W
654,Intel Core i7-13700KF,Asus ROG STRIX Z790-E GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
655,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E HERO ATX AM5€752.00,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1600 W
656,AMD Ryzen 7 7700X,ASRock B650E PG RIPTIDE WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1200 W
657,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
658,AMD Ryzen 7 7700X,Gigabyte X670 GAMING X AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
659,AMD Ryzen 5 5600X,Asus TUF GAMING B550-PLUS ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4080,850 W
660,Intel Core i7-13700KF,Asus ROG STRIX B660-I GAMING WIFI Mini ITX,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,1000 W
661,AMD Ryzen 9 7950X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
662,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5 799.00,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,850 W
663,AMD Ryzen 7 7700X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,850 W
664,AMD Ryzen 7 7700X,Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,850 W
665,Intel Core i7-13700KF,MSI MPG Z690 CARBON WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
666,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4080,1000 W
667,AMD Ryzen 9 7950X,ASRock X670E Steel Legend ATX AM5€422.88,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
668,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
669,AMD Ryzen 7 7700X,Asus ROG STRIX X670E-I GAMING WIFI Mini ITX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,750 W
670,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1350 W
671,AMD Ryzen 9 7950X,MSI MEG X670E GODLIKE EATX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1300 W
672,Intel Core i7-13700KF,ASRock Z790 Pro RS ATX LGA1700 367.49,32 GB (2 x 16 GB) DDR5-5600,RTX 4080,1000 W
673,AMD Ryzen 7 7700X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
674,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-F GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1000 W
675,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1000 W
676,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX,64 GB (2 x 32 GB) DDR5-5600,RTX 4090,1500 W
677,AMD Ryzen 9 7900X,ASRock X670E Taichi Carrara EATX AM5 0.00,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1000 W
678,AMD Ryzen 5 5600,Gigabyte GA-AX370-Gaming K7 ATX AM4,32 GB (2 x 16 GB) DDR4-3200,RTX 4080,750 W
679,AMD Ryzen 7 7700X,Gigabyte B650 AORUS PRO AX ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,1000 W
680,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4080,1300 W
681,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1200 W
682,AMD Ryzen 7 7700X,Asus TUF GAMING X670E-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4080,1000 W
683,AMD Ryzen 9 7950X,MSI MEG X670E GODLIKE EATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,1000 W
684,AMD Ryzen 9 7950X,ASRock X670E Taichi Carrara EATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1300 W
685,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5200,RTX 4090,850 W
686,AMD Ryzen 9 7950X,Asus ROG CROSSHAIR X670E EXTREME EATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
687,Intel Core i5-13600KF,MSI PRO Z690-A WIFI DDR4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4090,1000 W
688,Intel Core i7-13700KF,Asus ROG STRIX Z690-A GAMING WIFI D4 ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4090,1200 W
689,AMD Ryzen 9 7950X,Gigabyte X670E AORUS MASTER (rev. 1.0) EATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1300 W
690,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4090,1650 W
691,AMD Ryzen 9 7900X,Asus ROG CROSSHAIR X670E GENE Micro ATX AM5£578.98,32 GB (2 x 16 GB) DDR5-6000,RTX 4090,1500 W
692,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5 599.01,64 GB (2 x 32 GB) DDR5-6000,RTX 4070,850 W
693,AMD Ryzen 5 5600X,Asus ROG STRIX B550-F GAMING ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,750 W
694,AMD Ryzen 5 5600X,Asus ROG STRIX B550-I GAMING Mini ITX AM4,64 GB (2 x 32 GB) DDR4-3600,RTX 4090,750 W
695,AMD Ryzen 5 5600X,MSI B550M PRO-VDH WIFI Micro ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4070 Ti,650 W
696,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-E GAMING WIFI ATX AM5€365.00,32 GB (2 x 16 GB) DDR5-6400,RTX 4090,1500 W
697,AMD Ryzen 7 7700X,Gigabyte X670E AORUS MASTER (rev. 1.0) EATX AM5€517.97,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,850 W
698,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-I GAMING WIFI Mini ITX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
699,AMD Ryzen 9 7950X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
700,Intel Core i7-13700KF,Asus ROG STRIX Z790-A GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-7200,RTX 4090,1000 W
701,AMD Ryzen 7 7700X,Gigabyte B650 AORUS ELITE AX ICE ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4060 Ti,1000 W
702,AMD Ryzen 5 5600X,MSI B550 GAMING GEN3 ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,600 W
703,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4060 Ti,750 W
704,AMD Ryzen 5 5600X,ASRock B450M PRO4 R2.0 Micro ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,750 W
705,Intel Core i5-13600KF,ASRock B760M PG SONIC WiFi Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
706,AMD Ryzen 5 5600,ASRock B550M Steel Legend Micro ATX AM4,32 GB (2 x 16 GB) DDR4-4000,RTX 4070,750 W
