Build_No.,CPU,Motherboard,RAM,GPU,PSU
111,Intel Core i5-13600KF,Asus ROG STRIX B760-A GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,750 W
112,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
113,Intel Core i5-13400F,Gigabyte B760 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
114,AMD Ryzen 7 7700X,MSI PRO B650-P WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
115,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
116,AMD Ryzen 7 7700X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
117,AMD Ryzen 5 5600,Gigabyte B550 UD AC ATX AM4 169.49,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,650 W
118,AMD Ryzen 7 7700X,ASRock X670E Steel Legend ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
119,Intel Core i5-13600KF,NZXT N7 Z790 ATX,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,850 W
120,AMD Ryzen 7 7700X,MSI MAG B650 TOMAHAWK WIFI ATX AM5 100.00,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
121,AMD Ryzen 9 7900X,Gigabyte B650 AORUS ELITE AX ATX AM5,32 GB (2 x 16 GB) DDR5-5600,RTX 4070,750 W
122,AMD Ryzen 7 7700X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
123,AMD Ryzen 9 7900X,Asus TUF GAMING B650-PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4070 Ti,850 W
124,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6200,RTX 4090,1000 W
125,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4060,750 W
126,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4060,1500 W
127,AMD Ryzen 9 7900X,Asus ROG STRIX B650-A GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
128,AMD Ryzen 7 7700X,Gigabyte B650 GAMING X AX ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
129,Intel Core i7-13700F,ASRock B760M Steel Legend WiFi Micro ATX LGA1700,32 GB (2 x 16 GB) DDR5-5200,RTX 4060 Ti,650 W
130,AMD Ryzen 9 7950X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1500 W
131,AMD Ryzen 7 7700X,MSI B650 GAMING PLUS WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
132,Intel Core i5-13600KF,Asus ROG MAXIMUS Z790 HERO ATX LGA1700€649.00,32 GB (2 x 16 GB) DDR5-6600,RTX 4080,850 W
133,Intel Core i5-13600KF,Asus ROG STRIX B760-I GAMING WIFI Mini ITX LGA1700 293.25,32 GB (2 x 16 GB) DDR5-6400,RTX 4070,850 W
134,AMD Ryzen 9 7900X,Asus ROG STRIX X670E-E GAMING WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6400,RTX 4070 Ti,850 W
135,Intel Core i5-13400F,Gigabyte B760M DS3H AX DDR4 Micro ATX LGA1700€128.88,32 GB (2 x 16 GB) DDR4-3200,RTX 4060 Ti,750 W
136,Intel Core i7-13700KF,Asus ROG STRIX Z790-F GAMING WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
137,AMD Ryzen 7 7700X,Asus ROG CROSSHAIR X670E GENE Micro ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1000 W
138,Intel Core i5-13400F,Gigabyte B760M DS3H AX Micro ATX LGA1700,16 GB (2 x 8 GB) DDR5-6000,RTX 4060,700 W
139,AMD Ryzen 9 7900X,Asus ROG STRIX B650E-F GAMING WIFI ATX AM5,64 GB (2 x 32 GB) DDR5-6000,RTX 4060 Ti,1200 W
140,AMD Ryzen 7 7700X,NZXT N7 B650E ATX AM5£259.99,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
141,AMD Ryzen 7 7700X,Asus PRIME X670E-PRO WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
142,Intel Core i7-13700KF,Asus TUF GAMING Z790-PLUS WIFI ATX LGA1700,64 GB (2 x 32 GB) DDR5-5600,RTX 4060 Ti,850 W
143,Intel Core i5-13400F,MSI PRO B760-VC WIFI ATX LGA1700,16 GB (2 x 8 GB) DDR5-5200,RTX 4060,650 W
144,AMD Ryzen 7 7700X,Asus PRIME X670E-PRO WIFI ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
145,Intel Core i7-13700KF,Asus PRIME Z790-A WIFI ATX LGA1700,64 GB (2 x 32 GB) DDR5-6000,RTX 4090,1200 W
146,Intel Core i5-13600KF,Asus TUF GAMING B760M-PLUS WIFI D4 Micro ATX LGA1700,32 GB (2 x 16 GB) DDR4-3600,RTX 4060 Ti,700 W
147,AMD Ryzen 5 5600X,Asus TUF GAMING B550-PLUS WIFI II ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060 Ti,750 W
148,Intel Core i7-13700KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,850 W
149,AMD Ryzen 9 7900X,MSI MAG B650M MORTAR WIFI Micro ATX AM5,64 GB (2 x 32 GB) DDR5-5600,RTX 4060 Ti,1000 W
150,Intel Core i7-13700KF,Asus ROG STRIX B760-A GAMING WIFI D4 ATX,32 GB (2 x 16 GB) DDR4-3600,RTX 4070,750 W
151,Intel Core i5-13600KF,Gigabyte Z790 AORUS ELITE AX ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
152,AMD Ryzen 5 5600X,Asus PRIME B550M-A WIFI II Micro ATX AM4,32 GB (2 x 16 GB) DDR5-6000,RTX 4060,750 W
153,AMD Ryzen 5 5600X,ASRock B550M Steel Legend Micro ATX AM4,16 GB (2 x 8 GB) DDR4-3200,RTX 4060,650 W
154,AMD Ryzen 9 7900X,Gigabyte B650M AORUS ELITE AX Micro ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070 Ti,750 W
155,Intel Core i5-13600KF,Asus TUF GAMING Z690-PLUS WIFI ATX LGA1700,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,750 W
156,AMD Ryzen 5 5600X,MSI MAG B550 TOMAHAWK MAX WIFI ATX AM4,32 GB (2 x 16 GB) DDR4-3600,RTX 4060,750 W
157,AMD Ryzen 7 7700X,Gigabyte X670 AORUS ELITE AX (rev. 1.0) ATX AM5,32 GB (2 x 16 GB) DDR5-6000,RTX 4070,850 W
